كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الثاني
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | يتقن | يطور | يحاول
الاستماع | الالتزام بآداب الاستماع وقواعده. | الإصغاء باهتمام، وإظهار التفاعل بلغة الجسد أو تعابير الوجه أثناء الاستماع. | إظهار الاهتمام والتفاعل المناسب أثناء الاستماع. | يتفاعل بانتباه واضح وتعابير مناسبة طوال الاستماع. | يُظهر التفاعل في معظم المواقف مع حاجة محدودة للتذكير. | يحتاج إلى توجيه متكرر لإظهار الاهتمام والتفاعل.
الاستماع | الالتزام بآداب الاستماع وقواعده. | الجلوس بطريقة مناسبة والنظر إلى المتحدث احترامًا وتأكيدًا على المتابعة. | الالتزام بآداب الجلوس والمتابعة البصرية أثناء الاستماع. | يحافظ على جلسته المناسبة وينظر إلى المتحدث باستمرار. | يلتزم بالسلوك المناسب غالباً مع بعض التشتت. | يحتاج إلى تذكير متكرر بآداب الجلوس والمتابعة.
الاستماع | الالتزام بآداب الاستماع وقواعده. | استخدام كلمات مهذبة (من فضلك، أو لو سمحت، ورفع اليد قبل المشاركة في الحديث احتراماً للنظام. | تطبيق أساليب التواصل المهذب وقواعد المشاركة المنظمة. | يستخدم العبارات المهذبة ويلتزم بالنظام دائماً. | يستخدم الأساليب المهذبة في معظم المواقف. | يحتاج إلى دعم للالتزام بآداب الحديث والمشاركة.
الاستماع | الالتزام بآداب الاستماع وقواعده. | استخدام نبرة صوت مناسبة أثناء التحدث والاستماع. | توظيف نبرة صوت ملائمة للموقف التواصلي. | يستخدم نبرة واضحة وهادئة ومناسبة دائماً. | يراعي نبرة الصوت المناسبة غالباً. | يحتاج إلى تدريب على ضبط نبرة صوته.
الاستماع | الالتزام بآداب الاستماع وقواعده. | الامتناع عن التعليقات أو الحركات غير المناسبة أثناء حديث الآخرين والاستماع بانتباه. | الالتزام بسلوكات داعمة لبيئة استماع إيجابية. | يمتنع عن أي سلوك مشتت أثناء الاستماع. | يقلل من السلوكات غير المناسبة في أغلب الأوقات. | يُظهر سلوكات مشتتة تحتاج إلى متابعة.
الاستماع | الالتزام بآداب الاستماع وقواعده. | الحفاظ على تركيز الذهن طوال مدة الاستماع، وعدم التشتت. | المحافظة على الانتباه والتركيز خلال الموقف الاستماعي | يركز طوال مدة الاستماع دون تشتت. | يحافظ على التركيز معظم الوقت. | يتشتت بسهولة أثناء الاستماع.
الاستماع | الالتزام بآداب الاستماع وقواعده. | عدم التحدث مع الآخرين أو الانشغال بأي شيء آخر أثناء حديث المتحدث. | الالتزام بالإنصات الكامل واحترام المتحدث | ينصت باهتمام دون أي انشغال جانبي. | يلتزم بالإنصات في معظم المواقف. | يحتاج إلى تذكير متكرر بعدم الانشغال.
الاستماع | الالتزام بآداب الاستماع وقواعده. | الانتظار حتى ينتهي المتحدث من كلامه قبل التعليق أو طرح سؤال. | مراعاة آداب الحوار وتبادل الأدوار أثناء الحديث | ينتظر انتهاء المتحدث دائماً قبل المشاركة. | يلتزم غالباً مع بعض المقاطعات المحدودة. | يقاطع الحديث ويحتاج إلى توجيه مستمر.
الاستماع | الالتزام بآداب الاستماع وقواعده. | تنفيذ ما يُطلب بلطف واحترام خاصة من المعلم، أو قائد المجموعة أثناء النشاط أو الحوار. | الاستجابة للتوجيهات بصورة إيجابية ومنظمة | ينفذ التعليمات مباشرة وباحترام كامل. | يستجيب للتوجيهات بعد تذكير بسيط. | يحتاج إلى متابعة مستمرة لتنفيذ المطلوب.
