كفايات التربية الإسلامية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
كفايات الصف الثاني
[TABLE 1]
الكفاية الرئيسة | الكفايات الفرعية | المعايير | مؤشرات الأداء | مؤشرات الأداء | مؤشرات الأداء
الكفاية الرئيسة | الكفايات الفرعية | المعايير | يتقن | يطور | يحاول
تجسيد التوحيد في الحياة اليومية عبر سلوك يعكس الإيمان بوحدانية الله تعالى. | تطبيق التسمية بالله في المواقف اليومية لتعزيز الوعي الديني. | الالتزام بذكر اسم الله (التسمية) في ممارساته اليومية. | يطبق التسمية دائماً. | يطبق التسمية غالباً. | ينسى التسمية كثيراً.
تجسيد التوحيد في الحياة اليومية عبر سلوك يعكس الإيمان بوحدانية الله تعالى. | قراءة بعض السور القرآنية، وشرحها، وحفظها، وتدبر معانيها؛ لتعزيز السلوك في المواقف المختلفة. | توظيف القيم والتوجيهات المستفادة من السور القرآنية (الكافرون، العلق، المسد، الفلق، قريش، الماعون، الكوثر، الشرح) في المواقف الحياتية المختلفة. | يحفظ السور ويشرحها ويتدبرها بدقة. | يحفظ السور والأدعية مع فهم عام دون تعمّق. | يحفظ السور حفظاً متقطعاً وفهماً محدوداً.
تجسيد التوحيد في الحياة اليومية عبر سلوك يعكس الإيمان بوحدانية الله تعالى. | قراءة الدعاء النبوي المأثور، وشرحه، وحفظه، وتدبر معانيه؛ لتعزيز السلوك في المواقف المختلفة. | توظيف القيم والتوجيهات المستفادة من الدعاء النبوي (الاستفتاح) في المواقف الحياتية المختلفة. | يحفظ دعاء الاستفتاح، ويشرحه، ويتدبرها بدقة. | يحفظ دعاء الاستفتاح، ويشرحه، ويتدبر معانيه غالباً. | يحفظ دعاء الاستفتاح فقط، دون شرحه وتدبر معانيه.
تجسيد التوحيد في الحياة اليومية عبر سلوك يعكس الإيمان بوحدانية الله تعالى. | تمثل بعض الأخلاق الحميدة في القول والعمل، مقتدياً بأخلاق النبي ﷺ. | تطبيق الأخلاق الإسلامية (الصدق، والاعتماد على النفس، والاستئذان، وآداب الزيادة، وتوقير الكبير والعطف على الصغير) المستمدة من سيرة النبي ﷺ في المواقف الحياتية المختلفة. | يطبق الأخلاق الإسلامية دائماً وباستمرار. | يطبق الأخلاق الإسلامية غالباً. | يطبق الأخلاق الإسلامية جزئياً بمتابعة وتوجيه.
تجسيد التوحيد في الحياة اليومية عبر سلوك يعكس الإيمان بوحدانية الله تعالى. | المواظبة على ترديد "لا إله إلا الله وحده" مع إدراك معانيها، والتعبير عنها بأساليب إبداعية تعكس فهماً عميقاً للتوحيد. | ترسيخ عقيدة التوحيد (لا إله إلا الله وحده) من خلال الذكر المستمر. | يلتزم بترديد التوحيد باستمرار. | يلتزم بترديد التوحيد غالباً. | يحتاج متابعة وتوجيه مستمر عند ترديد التوحيد.
تجسيد التوحيد في الحياة اليومية عبر سلوك يعكس الإيمان بوحدانية الله تعالى. | التعبير عن قصص إسلامية متنوعة، واستنباط الدروس والعبر منها من خلال ربطها بالواقع المعيش. | الاستفادة من أحداث التاريخ والقصص الديني (اعتماد الرسول عليه السلام على نفسه، وزواج الرسول عليه السلام من خديجة رضي الله عنها، وقصة تحطيم إبراهيم عليه السلام للأصنام) في توجيه القرارات والتصرفات اليومية. | يتمثّل العِبر المستفادة من القصص تلقائياً، ويربطها بوعي بمواقف من واقعه المعيش. | يتمثّل العِبر المستفادة من القصص تلقائياً، ويربطها غالباً بمواقف من واقعه المعيش. | يتمثّل العِبر المستفادة من القصص دون ربطها بمواقف من واقعه المعيش.
تجسيد الأخلاق الحميدة والقيم المستمدة من سيرة الرسول ﷺ في الحياة اليومية. | المشاركة الفعالة في أعمال الخير والمبادرات المجتمعية؛ لتعزيز روح التعاون والمسؤولية وترسيخ القيم الإسلامية في خدمة الآخرين. | توظيف التوجيهات الدينية في سلوكات ومبادرات تطوعية تخدم المدرسة والمجتمع (التعاون، وآداب الطريق، والنظافة، ...). | يطبّق التوجيهات الدينية باستمرار من خلال مبادرات وسلوكيات تطوعية إيجابية تخدم المدرسة والمجتمع. | يطبّق بعض الممارسات التطوعية ويلتزم بالتوجيهات الدينية في معظم المواقف. | يظهر محاولات متقطعة لتطبيق التوجيهات الدينية والمشاركة في الأعمال التطوعية.
تجسيد الأخلاق الحميدة والقيم المستمدة من سيرة الرسول ﷺ في الحياة اليومية. | التفكر في مظاهر الكون وتأملها، وطرح تساؤلات تعكس التفكير الذاتي والإبداعي. | الاستدلال على عظَمة الخالق من خلال التساؤل والبحث في الظواهر الكونية المحيطة (خلق السماوات والأرض، مخلوقات الله....). | يطبق مهارة التأمل ذاتياً بطرح تساؤلات إبداعية حول الظواهر الكونية دون حاجة لتذكير. | يطبق مهارة التأمل بطرح تساؤلات إبداعية حول الظواهر الكونية بمساعدة المعلم. | نادراً ما يطبق مهارة التأمل حول الظواهر الكونية.
تجسيد الأخلاق الحميدة والقيم المستمدة من سيرة الرسول ﷺ في الحياة اليومية. | حب القراءة والاستفادة من المصادر الرقمية لتعزيز الثقافة العلمية، والوعي البيئي، والسلوك المسؤول. | توظيف أدوات المعرفة المعاصرة (كتباً، ومنصات رقمية بيئية وعلمية) في بناء الوعي العلمي والبيئي وتوجيه الممارسات الشخصية. | يختار أدوات المعرفة المعاصرة بمفرده، وينقل ما يتسخر منها إلى ممارساته اليومية بوعي. | يختار بعض أدوات المعرفة المعاصرة بمساعدة المعلم، وينقل ما يتسخر منها إلى ممارساته اليومية. | يختار أدوات المعرفة المعاصرة بمساعدة المعلم، ويستفيد من بعضها في ممارساته اليومية.
