كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الثالث
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | يتقن | يطور | يحاول
الاستماع | الالتزام بآداب الاستماع وقواعده. | التزام الهدوء، والإصغاء الجيد، والانتباه والتركيز مع المتحدث، وعدم مقاطعة الآخرين، والاستئذان قبل التحدث، والتفاعل مع النص. | الالتزام بسلوكات الاستماع الفعّال أثناء المواقف التواصلية | يلتزم بسلوكات الاستماع التزاماً كاملاً ويظهر تفاعلاً مناسباً مع المتحدث. | يلتزم بسلوكات الاستماع التزاماً جزئياً مع بعض التذكير. | يلتزم بسلوكات الاستماع التزاماً محدوداً ويحتاج إلى توجيه.
الاستماع | الالتزام بآداب الاستماع وقواعده. | الالتزام الذاتي بآداب الاستماع. | ضبط السلوك أثناء الاستماع دون تدخل خارجي | يضبط سلوكه ضبطاً ذاتياً أثناء الاستماع. | يضبط سلوكه ضبطاً جزئياً مع حاجة إلى التذكير أحياناً. | يضبط سلوكه ضبطاً محدوداً ويحتاج إلى متابعة مستمرة.
الاستماع | الالتزام بآداب الاستماع وقواعده. | تطوير النضج الاجتماعي في الاتصال والتواصل مع الآخرين. | التفاعل الاجتماعي الإيجابي في المواقف التواصلية | يتفاعل اجتماعياً تفاعلاً ناضجاً وإيجابياً مع الآخرين. | يتفاعل اجتماعياً تفاعلاً جزئياً مع الآخرين. | يظهر تفاعلاً اجتماعياً محدوداً.
الاستماع | الالتزام بآداب الاستماع وقواعده. | تعزيز الوعي الذاتي والانتباه، من خلال تدوين ملاحظات حول شخوص النصوص والأحداث. | تسجيل الملاحظات حول عناصر النص أثناء الاستماع | يدون الملاحظات تدويناً دقيقاً ومنظماً حول الشخصيات والأحداث. | يدون الملاحظات تدويناً جزئياً مع بعض النقص. | يدون ملاحظات محدودة وغير منظمة.
الاستماع | فهم المسموع وتحليله. | الاستجابة لتعليمات الآخرين وإرشاداتهم بوعي في المواقف المتنوعة. | تنفيذ التعليمات الشفوية في سياقات متنوعة | ينفذ التعليمات تنفيذاً دقيقاً وواعياً في مختلف المواقف. | ينفذ معظم التعليمات تنفيذاً جزئياً. | ينفذ التعليمات تنفيذاً محدوداً.
الاستماع | فهم المسموع وتحليله. | التنبؤ بمضمون نصوص الاستماع من خلال العنوان أو المقدمة. | توقع محتوى النص اعتماداً على المؤشرات الأولية | يتنبأ بمضمون النص تنبؤاً دقيقاً ومناسباً. | يتنبأ بمضمون النص تنبؤاً جزئياً. | يتنبأ بمضمون النص تنبؤاً محدوداً.
الاستماع | فهم المسموع وتحليله. | تحديد الفكرة العامة والأفكار الجزئية للنصوص المسموعة | استخلاص المعنى العام والجزئي للنص المسموع | يحدد الفكرة العامة والأفكار الجزئية تحديداً دقيقاً وواضحاً. | يحدد الفكرة العامة والأفكار الجزئية جزئياً. | يحدد الفكرة العامة فقط.
الاستماع | فهم المسموع وتحليله. | تحديد دور بعض الشخصيات الواردة في النص. | تحليل أدوار الشخصيات في النص المسموع | يحدد أدوار الشخصيات تحديداً واضحاً ودقيقاً. | يحدد بعض الأدوار جزئياً. | يحدد بعض الأدوار.
الاستماع | فهم المسموع وتحليله. | توظيف أدوات الاستفهام: (متى، وأين، وكيف، ولماذا، وماذا، كم) شفوياً. | استخدام أدوات الاستفهام في التعبير الشفوي | يوظف أدوات الاستفهام توظيفاً صحيحاً ومناسباً. | يوظف بعض أدوات الاستفهام توظيفاً جزئياً. | يوظف أدوات الاستفهام توظيفاً محدوداً.
