كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثالث الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | مؤشرات الأداء | مؤشرات الأداء | مؤشرات الأداء | القيم
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الأعداد حتى 99999 | ممارسة التفكير الكمي والتجريدي | توظيف القيمة المكانية في تفسير الأعداد ضمن 99999 | يقرأ الأعداد حتى 99999 | يقرأ أعداداً صحيحة ضمن 5 منازل معطاة (مكتوبة) بالرموز أو الكلمات | يقرأ بطلاقة جميع الأعداد ضمن 5 منازلبالرموز والكلمات وبدون أخطاء | يقرأ الأعداد ضمن 5 منازل بالرموزوالكلمات، ويحتاج مساعدة في المنازل التي تحوي أصفاراً | يقرأ أعداداً ضمن 3 منازل فقط (ضمن 999) ويحاول قراءة أعداد ضمن 5 منازل ويتعثر في قراءة الأعداد المكتوبة بالكلمات | التفكير المنطقي، التجريد الرياضي، الدقة ، الترتيب والتنظيم الذهني
الأعداد حتى 99999 | ممارسة التفكير الكمي والتجريدي | توظيف القيمة المكانية في تفسير الأعداد ضمن 99999 | يكتب الأعداد حتى 99999 | يكتب الأعداد بالرموز والكلمات ضمن خمس منازل بصورة صحيحة | يكتب جميع الأعداد ضمن 5 منازل بالكلمات والرموز مع إتقان كامل للمنازل | يكتب أعداداً ضمن 5 منازل، ويطور قدرته في كتابة الأعداد التي تحوي أصفاراً | يكتب أعداداً ضمن 999فقط بالرموز ويجد صعوبة في كتابة الأعداد بالكلمات | 
الأعداد حتى 99999 | ممارسة التفكير الكمي والتجريدي | توظيف القيمة المكانية في تفسير الأعداد ضمن 99999 | يحدد قيمة المنزلة في العدد ضمن 99999 | يحدد القيمة المنزلية والرقمية لأي رقم في عدد معطى ضمن 99999 | يحدد القيمة المنزلية والرقمية لأي رقم في الأعداد ضمن 99999مفسرا دلالتها في العدد | يحدد القيمة المنزلية ضمن 99999ويحتاج لدعم في الأعداد التي بعض منازلها صفر | يحدد القيمة المنزلية لأعداد ضمن 999 فقط | 
الأعداد حتى 99999 | ممارسة التفكير الكمي والتجريدي | الانتقال بين التمثيلات العددية المختلفة | يمثل الأعداد ضمن 5 منازل بصيغ متعددة(أجسام حسابية، المعداد، لوحة المنازل) | يمثل الأعداد ضمن 5 منازل باستخدام الوسائل المحسوسة وشبه المحسوسة | يمثل الأعداد ضمن 99999على لوحة المنازل والمعداد والأجسام الحسابية موضحاً مكوناتها بدقة | يمثل الأعداد ضمن 99999 على المعداد والأجسام الحسابية ويطور قدراته في توضيح مكوناتها وتمثيلهاعلى لوحة المنازل | يمثل الأعداد ضمن 999 فقط باستخدام المحسوسات | التفكير المرن، التفكير التحليلي، الدقة، التجريد الرياضي
الأعداد حتى 99999 | ممارسة التفكير الكمي والتجريدي | الانتقال بين التمثيلات العددية المختلفة | يربط بين التمثيل الرقمي واللفظي للأعداد ضمن 99999 | يحول العدد من الصيغة اللفظية إلى الرقمية وبالعكس ضمن 5 منازل | يربط بين التمثيل الرقمي واللفظي للأعداد ضمن 99999بطلاقة | يحول بين التمثيلين ويحتاج لمساعدة في الأعداد ضمن 99999التي تحوي أصفارا | يربط بين التمثيل الرقمي واللفظي لأعداد ضمن 999 فقط | 
الأعداد حتى 99999 | ممارسة التفكير الكمي والتجريدي | الانتقال بين التمثيلات العددية المختلفة | يربط بين التمثيل الرقمي والموسع للأعداد ضمن 99999 | يكتب العدد المعطى بالصورة الموسعة مبيناً قيمة كل رقم فيه | يكتب الصورة الموسعة لعدد ضمن 99999بدقة مفسراً دلالة كل منزلة | يكتب الصورة الموسعة لعدد ضمن 99999ويخطئ أحياناً فيالأعداد التي بعض منازلها صفر | يكتب الصورة الموسعة لأعداد ضمن 999 فقط | 
الأعداد حتى 99999 | ممارسة البحث عن البنية الرياضية | تحليل بنية النظام العشري | يفسر العلاقات بين المنازل العددية ضمن 99999 | يفسر أن 10 مئات تساوي ألفاً، و10 آلاف تساوي عشرة آلاف | يستنتج العلاقات التبادلية بين المنازل للأعداد ضمن 99999لتوظيفها في العد | يفسر العلاقات بين المنازل للأعداد ضمن 999 مع الاستعانة بالمحسوسات (أجسام حسابية) للأعداد ضمن99999 | يحاول فهم العلاقة بين الآحاد والعشرات والمئات | التفكير المنطقي، الدقة، التنظيم الذهني، حب الاستكشاف، الانتباه
الأعداد حتى 99999 | ممارسة البحث عن البنية الرياضية | تحليل بنية النظام العشري | يحدد العدد السابق والعدد التالي للأعداد ضمن 99999 | يحدد العدد السابق والعدد التالي مباشرة للأعداد ضمن 5 منازل | يحدد العدد السابق والعدد التالي ذهنيا وبطلاقة للأعداد ضمن 99999. | يحدد العدد السابق والعدد التالي لمعظم الأعداد ضمن 99999، ويتعثر عند الأعداد التي تتضمن أصفارا أو تسعاتمثل : السابق للعدد 50000 أو التالي للعدد 6999. | يحدد العدد السابق والعدد التالي للأعداد ضمن 999 فقط. ويواجه صعوبة في الاعداد ضمن 4 منازل ويحتاج إلى دعم مستمر لتحديدها. | 
الأعداد حتى 99999 | ممارسة البحث عن البنية الرياضية | تحليل بنية النظام العشري | يستخدم القيمة المكانية في المقارنة بين عددين ضمن 99999 | يوظف القيمة المكانية للمقارنة بين عددين لهما نفس عدد المنازل | يقارن الأعداد بناءً على المنزلة العليا (من اليسار) بدقة تامة | يقارن الأعداد ويحتاج لتوجيه عند تساوي الأرقام في المنزلة العليا | يقارن بين أرقام المنازل بشكل منفصل دون إدراك قيمة العدد الكلية | 
