كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الرابع
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | يتقن | يطور | يحاول
الاستماع | الالتزام بآداب الاستماع وقواعده. | التزام الهدوء، والإصغاء الجيد، والانتباه والتركيز مع المتحدث، وعدم مقاطعة الآخرين، والاستئذان قبل التحدث، والتفاعل مع النص. | ممارسة سلوكات الاستماع الواعي في المواقف الصفية | يلتزم بسلوكات الاستماع التزاماً كاملاً ويظهر تفاعلاً واعياً مع المتحدث. | يلتزم بسلوكات الاستماع التزاماً جزئياً مع بعض التذكير. | يلتزم بسلوكات الاستماع التزاماً ضعيفاً ويحتاج إلى توجيه مستمر.
الاستماع | الالتزام بآداب الاستماع وقواعده. | الالتزام الذاتي بآداب الاستماع. | ضبط السلوك أثناء الاستماع دون تدخل خارجي | يضبط سلوكه ضبطاً ذاتياً واضحاً أثناء الاستماع. | يضبط سلوكه ضبطاً جزئياً مع الحاجة إلى التذكير أحياناً. | يضبط سلوكه ضبطاً محدوداً ويحتاج إلى متابعة دائمة.
الاستماع | الالتزام بآداب الاستماع وقواعده. | تطوير النضج الاجتماعي في الاتصال والتواصل مع الآخرين. | التفاعل الاجتماعي الإيجابي في المواقف التواصلية | يتفاعل اجتماعياً تفاعلاً ناضجاً وفاعلاً مع الآخرين. | يتفاعل اجتماعياً تفاعلاً جزئياً مع الآخرين. | يظهر تفاعلاً اجتماعياً محدوداً.
الاستماع | الالتزام بآداب الاستماع وقواعده. | تعزيز الوعي الذاتي والانتباه، من خلال تدوين ملاحظات حول شخوص النصوص والأحداث. | تسجيل الملاحظات حول عناصر النص أثناء الاستماع | يدون الملاحظات بانتظام ودقة حول الشخصيات والأحداث. | يدون الملاحظات تدويناً جزئياً مع بعض النقص. | يدون ملاحظات محدودة وغير منظمة.
الاستماع | فهم المسموع وتحليله. | الاستجابة لتعليمات الآخرين وآرائهم، بوعي في المواقف المتنوعة. | تنفيذ التعليمات والتفاعل مع الآراء في مواقف الاستماع | ينفذ التعليمات ويتفاعل مع الآراء بوعي ودقة في المواقف المختلفة. | ينفذ التعليمات ويتفاعل مع الآراء بدرجة جزئية مع بعض التردد. | يحتاج إلى دعم في تنفيذ التعليمات أو التفاعل مع الآراء.
الاستماع | فهم المسموع وتحليله. | التنبؤ بمضمون نصوص الاستماع من خلال العنوان أو المقدمة. | توقع محتوى النص اعتماداً على مؤشرات العنوان أو المقدمة | يتنبأ بمضمون النص تنبؤاً دقيقاً ومناسباً. | يتنبأ بمضمون النص جزئياً. | يتنبأ بمضمون النص تنبّؤاً محدوداً أو غير دقيق.
الاستماع | فهم المسموع وتحليله. | تحديد الفكرة العامة والأفكار الجزئية للنصوص المسموعة | تحليل النص إلى فكرة عامة وأفكار جزئية منظمة | يستنتج الفكرة العامة والأفكار الجزئية. | يستنتج الفكرة العامة وبعض الأفكار الجزئية مع بعض النقص. | يستنتج أفكاراً محدودة أو غير دقيقة.
الاستماع | فهم المسموع وتحليله. | تحديد دور بعض الشخصيات الواردة في النص. | تحليل أدوار الشخصيات في النص المسموع | يحدد أدوار الشخصيات تحديداً واضحاً ودقيقاً. | يحدد بعض الأدوار جزئياً. | يواجه صعوبة في تحديد أدوار الشخصيات.
الاستماع | فهم المسموع وتحليله. | توظيف أدوات الاستفهام: (متى، وأين، وكيف، ولماذا، وماذا، كم، ومن، وما) شفوياً. | استخدام أدوات الاستفهام في الحوار الشفوي | يوظف أدوات الاستفهام توظيفاً صحيحاً ومتنوعاً. | يوظف بعض أدوات الاستفهام مع تردد أو أخطاء بسيطة. | يوظف أدوات الاستفهام توظيفاً محدوداً.
