كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الأول
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | يتقن | يطور | يحاول
الاستماع | الالتزام بآداب الاستماع وقواعده. | الاحترام واللباقة: تعزيز احترام الآخرين وآرائهم. | إظهار سلوكٍ قائم على احترام الآخرين وآرائهم والتواصل معهم بلباقة في المواقف التعليمية والحياتية. | يستمع باهتمام واحترام، ويُظهر تقديراً لآراء الآخرين مهما اختلف معها، ويستخدم عبارات لبقة في الحوار. | يُظهر احتراماً للمتحدث في أغلب المواقف، لكنه يحتاج إلى تعزيز استخدام العبارات اللبقة أو تقبّل الآراء المختلفة باستمرار. | يستمع للآخرين أحياناً، لكنه قد يُظهر تسرعاً أو ضعفاً في احترام الرأي المخالف أو استخدام الأسلوب اللائق.
الاستماع | الالتزام بآداب الاستماع وقواعده. | ضبط النفس: الانتظار حتى ينتهي المتحدث دون مقاطعة. | الالتزام بآداب الحوار وضبط النفس من خلال الإنصات للمتحدث وعدم مقاطعته أثناء الحديث. | ينتظر انتهاء المتحدث تماماً قبل الرد، ويتحكم في اندفاعه أثناء الحوار. | يتجنب المقاطعة في معظم الأحيان، لكنه قد يقاطع أحياناً بدافع الحماس أو التسرع. | يحتاج إلى دعم في الانتظار حتى انتهاء المتحدث، ويقاطع الحديث مقاطعة متكررة.
الاستماع | فهم المسموع وتحليله. | مهارة التفكير الناقد. | توظيف مهارة التفكير الناقد في تحليل الأفكار والمواقف وإبداء الرأي بصورة واعية ومنطقية. | يحلل المسموع بعمق، ويطرح أسئلة وأفكاراً ناقدة تدل على فهم واعٍ. | يُظهر قدرة جيدة على تحليل المسموع، لكنه يحتاج إلى تعميق التفكير الناقد أحياناً. | يحلّل المسموع، لكنه يحتاج إلى دعم في ممارسة التفكير الناقد.
الاستماع | فهم المسموع وتحليله. | تقييم الأفكار. | تقييم الأفكار وتمييز المناسب منها وفق معايير واضحة ومنطقية. | يقيّم الأفكار بموضوعية، ويميز بين القوي والضعيف منها مع تبرير رأيه. | يقيّم بعض الأفكار بصورة مناسبة، لكنه يحتاج إلى مزيد من الدقة والتبرير. | يواجه صعوبة في تقييم الأفكار أو إصدار حكم مناسب عليها.
الاستماع | فهم المسموع وتحليله. | تمييز المعلومات المهمة. | تمييز المعلومات المهمة من غيرها واستخلاص الأفكار الرئيسة بدقة. | يحدد المعلومات الأساسية والداعمة بدقة وسرعة. | يميز معظم المعلومات المهمة، لكنه قد يغفل بعض التفاصيل الأساسية. | يحتاج إلى دعم في تحديد المعلومات المهمة وتمييزها من الثانوية.
الاستماع | فهم المسموع وتحليله. | حلّ المشكلات بالاستفادة من المعلومات في تحليل المواقف المختلفة وتوظيفها في حل مشكلات جديدة. | توظيف المعلومات في تحليل المواقف المختلفة والاستفادة منها في حلّ المشكلات الجديدة بفاعلية. | يوظف المعلومات المسموعة بفاعلية في تحليل المواقف واقتراح حلول جديدة ومناسبة. | يستخدم المعلومات المسموعة في حل بعض المشكلات، لكنه يحتاج إلى تطوير قدرته على التوظيف والتحليل. | يستفيد من المعلومات في حلّ المشكلات، لكنه يحتاج إلى توجيه ودعم مستمر.
الاستماع | التفاعل الإيجابي مع المسموع. | مهارة التركيز والانتباه: تمكين الطالب من التقاط الفروقات الدقيقة بين الأصوات والمعاني. | تنمية مهارة التركيز والانتباه لالتقاط الفروقات الدقيقة بين الأصوات والمعاني. | يركز باهتمام طوال الاستماع، ويميز الفروقات الدقيقة بين الأصوات والمعاني بدقة. | يُظهر تركيزاً جيداً في معظم الوقت، لكنه قد يفوته بعض الفروقات الدقيقة أحياناً. | يحتاج إلى دعم في التركيز المستمر أو التمييز بين الأصوات والمعاني المختلفة.
الاستماع | التفاعل الإيجابي مع المسموع. | مهارة التحليل السمعي: القدرة على تحليل المسموع وفهمه بدقة. | تنمية مهارة التحليل السمعي من خلال تحليل المسموع وفهمه بدقة. | يحلل المسموع بدقة، ويفهم المعاني والأفكار بصورة واضحة ومتكاملة. | يفهم معظم المسموع ويحلله تحليلاً مقبولاً، لكنه يحتاج إلى مزيد من الدقة في التحليل. | يحلّل المسموع، لكنه يواجه صعوبة في استيعاب المعاني وربط الأفكار.
الاستماع | تذوق المسموع وتقييمه. | الاستماع الدقيق: القدرة على التركيز في الأصوات (الحروف والمقاطع والكلمات والجمل). | التركيز في تمييز الأصوات والحروف والمقاطع والكلمات والجمل وفهمها بدقة. | يستمع بدقة عالية، ويميز الأصوات والمقاطع والكلمات والجمل بوضوح وتركيز. | يركز في معظم الأصوات والكلمات، لكنه يحتاج إلى مزيد من الدقة والانتباه لبعض التفاصيل الصوتية. | يحتاج إلى دعم في التركيز على الأصوات أو التمييز بين المقاطع والكلمات المختلفة.
