كفايات التنشئة الوطنية ومعاييرها للصفوف 3-4
1447هـ/ 2026م
كفايات ومعايير التنشئة الوطنية للصف الرابع الأساسي
[TABLE 1]
المجالات | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
المجالات | الكفايات الرئيسة | الكفايات الفرعية | المعايير | يحقق | يطور | يحاول
وطنيات | الهوية الوطنية والانتماء العربي والإسلامي | معرفة الشكل الجغرافي لفلسطين وتحديد امتدادها المكاني على الخريطة. | وصف امتداد شكل فلسطين الجغرافي بصورة صحيحة | يصف شكل فلسطين وموقعها وحدودها بدقة ووضوح مستخدماً الاتجاهات الجغرافية الصحيحة.  / يستخدم الخريطة بدقة لتحديد الاتجاهات والامتداد الجغرافي، ويلون الخريطة بعناية داخل الحدود.  / يُظهر اعتزازاً واضحاً بوطنه، ويشارك بحماس في الأنشطة المتعلقة بالتعرف إلى فلسطين. | يصف بعض ملامح فلسطين وحدودها بصورة عامة مع حاجة إلى مزيد من الدقة. / يستخدم الخريطة بصورة مناسبة مع بعض الأخطاء البسيطة في التحديد أو التلوين.  / يُظهر اهتماماً واحتراماً لوطنه أثناء الأنشطة الصفية. | يذكر معلومات بسيطة أو غير مكتملة حول موقع فلسطين وشكلها وحدودها. / يحاول استخدام الخريطة والتلوين ويحتاج إلى دعم وتوجيه. / يُظهر اهتماماً محدوداً بالتعرف إلى وطنه ويحتاج إلى تشجيع للمشاركة الإيجابية.
وطنيات | الهوية الوطنية والانتماء العربي والإسلامي | تمييز خريطة فلسطين بصرياً من بين الخرائط الأخرى. | التمييز شكل خريطة فلسطين من بين أشكال دول مختلفة. | يتعرف إلى خريطة فلسطين بدقة وثقة، ويميزها بسهولة من بين الخرائط المختلفة. /  يقارن بين الخرائط بوضوح، ويحدد خريطة فلسطين بثقة مستخدماً خصائص جغرافية صحيحة أثناء الشرح.  /  يُظهر اهتماماً واعتزازاً واضحاً بالرموز الوطنية والجغرافية لفلسطين، ويشارك بإيجابية في الأنشطة. | يميز خريطة فلسطين في معظم المواقف مع بعض التردد أو الحاجة إلى تلميحات بسيطة. / يقارن بين بعض الخرائط ويحدد خريطة فلسطين مع حاجة إلى مزيد من التوضيح.  /  يُظهر اهتماماً بالرموز الوطنية والجغرافية في معظم المواقف الصفية. | يحاول التعرف إلى خريطة فلسطين ويخلط بينها وبين دلو أخرى، ويحتاج إلى دعم وتوجيه. / يحاول المقارنة بين الخرائط وتحديد خريطة فلسطين ويحتاج إلى مساعدة. / يُظهر اهتماماً محدوداً بالرموز الوطنية والجغرافية ويحتاج إلى تشجيع للمشاركة.
وطنيات | الهوية الوطنية والانتماء العربي والإسلامي | التعرف إلى الوطن العربي ودوله على الخريطة. | معرفة خريطة الوطن العربي، ويذكر اسمها، وأسماء الدول العربية المكتوبة على الخريطة. | يسمي معظم الدول العربية بدقة مستخدماً أسماءها الصحيحة ومواقعها الجغرافية المناسبة. /  يقرأ الخريطة بمهارة ويحدد مواقع الدول العربية واتجاهاتها بدقة وثقة.  /  يُظهر احتراماً واعتزازاً بالوحدة العربية، ويتقبل التنوع الثقافي بإيجابية واحترام. | يسمي عدداً من الدول العربية مع بعض الأخطاء البسيطة في التحديد أو التسمية.  / يحدد بعض الدول العربية على الخريطة مع حاجة إلى مزيد من التوجيه أو التدريب.  / يُظهر احتراماً للوحدة العربية والتنوع الثقافي في معظم المواقف الصفية. | يذكر عدداً محدوداً من الدول العربية ويحتاج إلى دعم في التعرف إليها. / يواجه صعوبة في قراءة الخريطة وتحديد الدول العربية ويحتاج إلى مساعدة مستمرة. / يُظهر احتراماً محدوداً للتنوع الثقافي ويحتاج إلى تعزيز قيم التعاون والانتماء العربي.
وطنيات | الهوية الوطنية والانتماء العربي والإسلامي | تحديد الدول العربية المجاورة لفلسطين. | ذكر أسماء الدول العربية المجاورة لفلسطين. | يذكر الدول العربية المجاورة لفلسطين بدقة، ويحدد مواقعها بالنسبة لفلسطين بشكل صحيح.  / يستخدم الاتجاهات والخريطة بدقة لتحديد مواقع الدول المجاورة واتجاهاتها بالنسبة لفلسطين.  / يُظهر وعياً واهتماماً بأهمية التعاون والعلاقات الإيجابية مع الدول العربية المجاورة. | يذكر بعض الدول العربية المجاورة مع وجود أخطاء بسيطة في التحديد. / يستخدم الخريطة والاتجاهات بصورة مناسبة مع بعض الأخطاء البسيطة. / يُظهر تقديراً للعلاقات مع الدول العربية المجاورة في معظم المواقف الصفية. | يذكر عدداً محدوداً من الدول المجاورة ويحتاج إلى دعم وتوجيه، ويخلط بين الدول المجاورة وغير المجاورة. /  يحاول استخدام الخريطة والاتجاهات ويحتاج إلى مساعدة مستمرة. /  يُظهر وعياً محدوداً بأهمية العلاقات العربية ويحتاج إلى تعزيز هذا الجانب.
وطنيات | الهوية الوطنية والانتماء العربي والإسلامي | إدراك وحدة الدول العربية ومؤسساتها المشتركة. | تسمية المنظمة التي تجمع الدول العربية، وذكر أن اللغة العربية هي اللغة الرسمية المشتركة بينها جميعا. | يسمي جامعة الدول العربية بدقة، ويوضح دور اللغة العربية في تعزيز التواصل والوحدة بين الشعوب العربية بأمثلة واضحة. /  يوضح مفهوم الوحدة العربية بوضوح، ويربط بين الدول العربية وعناصر الوحدة من خلال اللغة والتاريخ والثقافة والموقع الجغرافي بصورة صحيحة.  / يُظهر اعتزازاً واضحاً باللغة العربية وهويته العربية، ويشارك بإيجابية في الأنشطة المرتبطة بها. | يسمي جامعة الدول العربية ويذكر بصورة عامة دور اللغة العربية في الوحدة العربية.  / يوضح بعض عناصر الوحدة العربية مع حاجة إلى مزيد من الربط أو التوضيح. / يُظهر احتراماً واعتزازاً باللغة العربية والانتماء العربي في معظم المواقف الصفية. | يذكر معلومات بسيطة أو غير مكتملة حول جامعة الدول العربية أو دور اللغة العربية. /  يحاول توضيح مفهوم الوحدة العربية ويحتاج إلى دعم وتوجيه. / يُظهر اهتماماً محدوداً باللغة العربية والانتماء العربي ويحتاج إلى تشجيع وتعزيز.
وطنيات | الهوية الوطنية والانتماء العربي والإسلامي | التمييز بين الانتماء العربي والانتماء الإسلامي للدول. | التمييز بين الدول العربية، والإسلامية | يميز بدقة بين الدول العربية والإسلامية، ويقدم أمثلة متنوعة وصحيحة لكل منهما.  / يصنف الدول بدقة وفق انتمائها العربي أو الإسلامي مستخدماً الخريطة أو الجداول بصورة منظمة.  / يُظهر احتراماً واضحاً للتنوع الثقافي والديني، ويتعامل بإيجابية مع اختلاف الشعوب والثقافات. | يميز بين بعض الدول العربية والإسلامية مع وجود أخطاء بسيطة في الأمثلة.  / يصنف بعض الدول بصورة صحيحة مع حاجة إلى مزيد من التوجيه أو المراجعة. / يُظهر احتراماً للتنوع الثقافي والديني في معظم المواقف الصفية. | يخلط بين مفهوم الدول العربية والإسلامية، ويذكر أمثلة محدودة أو غير مكتملة حول الدول العربية والإسلامية. / يحاول تصنيف الدول ويحتاج إلى دعم ومتابعة مستمرة. / يُظهر تقبلاً محدوداً للتنوع الثقافي والديني ويحتاج إلى تعزيز قيم الاحترام والتسامح.
وطنيات | الهوية الوطنية والانتماء العربي والإسلامي | التعرف إلى منظمة التعاون الإسلامي والدول الإسلامية. | تسمية المنظمة التي تجمع دول العالم الإسلامي، ويذكر أمثلة عليها. | يسمي منظمة التعاون الإسلامي بدقة، ويذكر أمثلة متنوعة وصحيحة لدول إسلامية.  /  يربط بوضوح بين الدول الإسلامية ومنظمة التعاون الإسلامي، ويحدد مواقع بعض الدول الإسلامية بدقة على الخريطة. /  يُظهر تقديراً واضحاً للتعاون والتضامن بين الشعوب الإسلامية، ويعبر عن احترامه للعلاقات الإيجابية بينها. | يسمي منظمة التعاون الإسلامي ويذكر بعض الدول الإسلامية بصورة عامة.  / يربط بين بعض الدول الإسلامية والمنظمة مع حاجة إلى مزيد من التوضيح أو التدريب على الخريطة.  / يُظهر احتراماً وتقديراً للتعاون بين الشعوب الإسلامية في معظم المواقف الصفية. | يذكر معلومات بسيطة أو غير مكتملة حول المنظمة أو الدول الإسلامية. / يحاول الربط والتحديد على الخريطة ويحتاج إلى دعم وتوجيه. / يُظهر تقديراً محدوداً للتعاون الإسلامي ويحتاج إلى تعزيز قيم التضامن والانتماء.
وطنيات | الهوية الوطنية والانتماء العربي والإسلامي | تعزيز الانتماء الوطني والمحافظة على الأرض | الوعي بمظاهر المحافظة على الأرض وحمايتها من الاحتلال. | يوضح مظاهر المحافظة على الأرض الفلسطينية بدقة، ويحلل آثار المستوطنات والممارسات الصهيونية على البيئة والأرض بصورة واضحة ومدعمة بأمثلة. / يبحث ويحلل المعلومات بصورة منظمة، ويعبر عن رأيه بوضوح، ويقترح سلوكيات عملية وواقعية للمحافظة على الأرض والممتلكات الوطنية.  /  يُظهر انتماءً وطنياً واضحاً، ويلتزم بسلوكيات إيجابية تعكس حرصه على حماية الأرض الفلسطينية والمحافظة عليها. | - يوضح بعض مظاهر المحافظة على الأرض الفلسطينية، ويذكر بعض آثار الممارسات الاستيطانية بصورة عامة. / - يشارك في تحليل بعض القضايا البيئية والوطنية ويقترح أفكاراً محدودة للمحافظة على الأرض. / - يُظهر اهتماماً بالمحافظة على الأرض والممتلكات الوطنية في معظم المواقف الصفية والحياتية. | - يذكر أفكاراً محدودة حول المحافظة على الأرض الفلسطينية أو المخاطر التي تواجهها. / - يحاول تحليل القضايا وطرح أفكار للمحافظة على الأرض ويحتاج إلى دعم وتوجيه.  / - يُظهر اهتماماً محدوداً بالمحافظة على الأرض الفلسطينية ويحتاج إلى تعزيز قيم الانتماء والمسؤولية الوطنية.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى خصائص الحياة في المدينة. | المعرفة ب المظاهر العامة للمدينة. | يوضح المظاهر العامة للمدينة بدقة، ويذكر أمثلة متنوعة للخدمات والمرافق الموجودة فيها.  / يصف خصائص المدينة بوضوح مستخدماً مفردات مناسبة ومتنوعة تعبر عن الحياة المنظمة والخدمات فيها.  / يُظهر احتراماً واضحاً للمرافق العامة، ويلتزم بسلوكيات إيجابية تعكس تقديره للحياة المنظمة في المدينة. | يوضح بعض مظاهر المدينة مع أمثلة محدودة للخدمات والمرافق.  / يصف بعض خصائص المدينة باستخدام مفردات بسيطة مع حاجة إلى مزيد من التوضيح.  / يُظهر احتراماً للمرافق العامة في معظم المواقف الصفية والحياتية. | يذكر معلومات بسيطة أو غير مكتملة حول مظاهر المدينة. / يحاول وصف المدينة ويحتاج إلى دعم لاستخدام مفردات مناسبة. / يُظهر احتراماً محدوداً للمرافق العامة ويحتاج إلى تعزيز السلوك الإيجابي تجاهها.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى الخدمات الأساسية في المدينة. | معرفة الخدمات المتوفرة في المدينة | يحدد الخدمات الأساسية في المدينة بدقة، ويذكر أمثلة متنوعة لمؤسسات تقدمها ووظائفها.  / يربط بوضوح بين الخدمات العامة واحتياجات السكان، ويقدم أمثلة حياتية مناسبة ومتنوعة.  /  يُظهر وعياً واضحاً بأهمية المحافظة على الخدمات العامة، ويلتزم بسلوكيات إيجابية تجاهها. | يحدد بعض الخدمات الأساسية ويذكر أمثلة محدودة للمؤسسات.  / يربط بين بعض الخدمات واحتياجات السكان مع حاجة إلى مزيد من التوضيح. / يُظهر اهتماماً بالمحافظة على الخدمات العامة في معظم المواقف. | يذكر خدمات بسيطة وغير مكتملة موجودة في المدينة. / يحاول الربط بين الخدمات واحتياجات السكان ويحتاج إلى دعم وتوجيه. / يُظهر وعياً محدوداً بأهمية المحافظة على الخدمات العامة ويحتاج إلى تعزيز هذا الجانب.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | تحليل مشكلات البيئة الحضرية واقتراح الوعي بها. | استنتاج مشكلات المدينة. | يوضح مشكلات المدينة بدقة، ويبين آثارها على السكان والبيئة بأمثلة واضحة.  / يقترح حلولاً عملية ومناسبة للتقليل من الازدحام والتلوث والمحافظة على نظافة المدينة.  / يُظهر التزاماً واضحاً بسلوكيات تحافظ على البيئة الحضرية، ويشجع الآخرين على المحافظة عليها. | يوضح بعض مشكلات المدينة مع أمثلة محدودة.  / يقترح بعض الحلول البسيطة مع حاجة إلى مزيد من التوضيح والمساعدة.  / يُظهر اهتماماً بالمحافظة على البيئة الحضرية في معظم المواقف.  / يُظهر اهتماماً بتحسين البيئة المحيطة. | يذكر معلومات بسيطة ومحدودة حول مشكلات المدينة. / يحاول اقتراح حلول ويحتاج إلى دعم وتوجيه. / يُظهر مسؤولية محدودة تجاه البيئة الحضرية ويحتاج إلى تعزيز السلوك الإيجابي.
اجتماعي | أنماط الحياة الفلسطينية المختلفة وخصائصها الاجتماعية والاقتصادية | التعرف إلى المدن الفلسطينية وتسميتها. | التعرف إلى أسماء مدن الفلسطينية. | يسمي عدداً متنوعاً من المدن الفلسطينية بدقة وصورة صحيحة.  / يحدد مواقع المدن الفلسطينية على الخريطة بدقة وثقة مستخدماً الاتجاهات المناسبة.  / يُظهر اعتزازاً واضحاً بالمدن الفلسطينية وتراثها، ويشارك بإيجابية في الأنشطة المتعلقة بها. | يسمي بعض المدن الفلسطينية مع وجود أخطاء بسيطة في التسمية.  / يحدد بعض المدن الفلسطينية على الخريطة مع حاجة إلى مزيد من التدريب. / يُظهر احتراماً واهتماماً بالمدن الفلسطينية وتراثها في معظم المواقف الصفية. | يذكر عدداً محدوداً من المدن الفلسطينية ويحتاج إلى دعم وتوجيه. / يحاول تحديد المدن الفلسطينية على الخريطة ويحتاج إلى مساعدة مستمرة. / يُظهر اهتماماً محدوداً بالمدن الفلسطينية وتراثها ويحتاج إلى تشجيع وتعزيز.
