كفايات التربية الوطنية والحياتية — الصف الأول الأساسي — الفصلان الأول والثاني
المصدر: سجل كفايات تعليمي وتربوي مقدم من المستخدم؛ لا يُعامل كمصدر رسمي مستقل دون تحقق.
المجال | الكفاية الرئيسة | الكفاية الفرعية | المعيار | نتاج التعلم | يتقن | يطور | يحاول | القيم
أنا طفل | المعرفة الشخصية والأسرية | الحواس الخمس | يعرّف الحواس ووظائفها | يميّز الحواس الخمس والمثيرات الحسية ويحافظ على سلامة أعضاء الحس | ينجز بصورة مستقلة ودقيقة | ينجز مع توجيه بسيط | يحتاج إلى دعم | تقدير النعم والمسؤولية
أنا طفل | العلاقات الأسرية | أنا وأسرتي | يعرف مكونات الأسرة وأدوارها | يعبّر عن الحب والاحترام ويشارك في الأعمال المنزلية البسيطة | مستقل ومتعاون | يحتاج تذكيرًا أحيانًا | يحتاج مساعدة | البر والاحترام والتكاتف
أنا طفل | التواصل الاجتماعي | زيارة إلى بيت جدي | يستوعب العائلة الممتدة وآداب الزيارة | يطبق الاستئذان ويحترم الأجداد وكبار السن ويصل الرحم | مستقل ومناسب | ينجز مع توجيه | يحتاج دعمًا | صلة الرحم والاحترام
أنا مواطن | الانتماء المدرسي | أنا ومدرستي | يتعرف مرافق المدرسة والعاملين والقوانين | يستخدم المرافق بسلوك صحيح ويلتزم بالنظام ويتعاون | مستقل ومنضبط | يحتاج تذكيرًا | يحتاج متابعة | الانتماء والانضباط
أنا مواطن | المشاركة المجتمعية | أنا ومجتمعي | يفهم الجيران والمجتمع والمؤسسات الخدمية | يطبق آداب التعامل ويشارك في المناسبات المجتمعية | متعاون ومسؤول | يشارك مع توجيه | يحتاج تشجيعًا | التعاون والسلم
أنا مواطن | الهوية الوطنية | أنا فلسطيني | يتعرف الرموز الوطنية والعلم والنشيد والقدس والخارطة | يميز العلم ويعبّر عن الانتماء ويحافظ على الهوية والتراث | يعبر باستقلالية | يحتاج دعمًا بسيطًا | يحتاج توجيهًا | الاعتزاز بالهوية والمواطنة
بيئتي جميلة | الاستكشاف البيئي | أكتشف بيئتي | يفهم عناصر البيئة الطبيعية والاصطناعية | يلاحظ ويصنف مكونات البيئة ويسجل الملاحظات | دقيق ومستقل | ينجز مع توجيه | يحتاج مساعدة | الاستكشاف والنظافة
بيئتي جميلة | الوعي البيئي | أتنفس هواءً نظيفًا | يعرف أهمية الهواء وأسباب التلوث والوقاية | يمارس سلوكيات تقلل التلوث ويحافظ على الهواء النظيف | يطبق باستمرار | يطبق أحيانًا | يحتاج متابعة | المسؤولية البيئية
بيئتي جميلة | إدارة الموارد | في بيتنا بئر ماء | يعرف مصادر الماء وأهميته | يرشد استهلاك الماء ويحافظ على النظافة ومصادر المياه | ملتزم ومستقل | يحتاج تذكيرًا | يحتاج متابعة | عدم الإسراف والمسؤولية
بيئتي جميلة | الأرض والزراعة | تربة بلادي خصبة | يعرف أهمية التربة لنمو النباتات | يفحص التربة ويشارك في الزراعة البسيطة | يشارك بفاعلية | يشارك مع توجيه | يحتاج دعمًا | حب الأرض والإنتاج المستدام
الغطاء النباتي في وطني | التنوع النباتي | نباتات بلادي | يتعرف النباتات والأشجار الفلسطينية | يصنف النباتات ويعتني بها | دقيق ومستقل | يحتاج توجيهًا | يحتاج نموذجًا | المسؤولية البيئية
الغطاء النباتي في وطني | الغذاء والتراث | تعد أمي فطائر الزعتر | يعرف فوائد النباتات الغذائية والطبية | يميز الأعشاب ويساعد في إعداد غذاء بسيط صحي | يطبق بأمان | يحتاج مساعدة بسيطة | يحتاج دعمًا | التراث والامتنان
الغطاء النباتي في وطني | حماية النبات | المحافظة على الغطاء النباتي | يستوعب مخاطر الرعي الجائر والحرائق وقطع الأشجار | يشارك في التشجير والتنظيف ولا يقطف الأزهار | مبادر ومسؤول | يشارك عند الطلب | يحتاج تشجيعًا | حماية الموارد
الحيوانات متنوعة | الملاحظة العلمية | خصائص الحيوانات | يعرف تنوع الحيوانات في الشكل والحركة والغذاء | يقارن الحيوانات ويلاحظ خصائصها | دقيق ومستقل | يخطئ أحيانًا | يحتاج توجيهًا | التفكير العلمي
الحيوانات متنوعة | الاستفادة من الحيوانات | الحيوانات مفيدة | يتعرف فوائد الحيوانات للإنسان | يصنف الحيوانات حسب فوائدها ومنتجاتها | يطبق بدقة | يحتاج توجيهًا | يحتاج دعمًا | شكر النعم والمسؤولية
