كفايات التربية الإسلامية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
كفايات الصف الأول
[TABLE 1]
الكفايات الرئيسة | الكفايات الفرعية | المعايير | مؤشرات الأداء | مؤشرات الأداء | مؤشرات الأداء
الكفايات الرئيسة | الكفايات الفرعية | المعايير | يتقن | يطور | يحاول
الإيمان بوحدانية الله تعالى الخالق، وتعزيز الوعي الديني والقيم الإسلامية من خلال ممارسات دينية يومية. | ذكر اسم الله في المواقف اليومية المسنونة. | الالتزام بذكر اسم الله تعالى في المواقف الحياتية المختلفة | يلتزم بالتسمية ذاتياً وبشكل مستمر. | يلتزم بالتسمية غالباً مع تذكير بسيط. | ينسى التسمية كثيراً وتقتصر على محاولات متقطعة.
الإيمان بوحدانية الله تعالى الخالق، وتعزيز الوعي الديني والقيم الإسلامية من خلال ممارسات دينية يومية. | الالتزام بالإنصات والوعي بآداب التلاوة. | الإنصات لآيات من سور (الفاتحة، الإخلاص، الفيل، الناس، التين، النصر) وتمثل آدابه. | ينصت للسور بوعي والتزام تام بآدابه. | ينصت للسور غالباً مع تذكير بسيط. | يتشتت انتباهه أثناء الإنصات للسور وتلاوتها.
الإيمان بوحدانية الله تعالى الخالق، وتعزيز الوعي الديني والقيم الإسلامية من خلال ممارسات دينية يومية. | تلاوة سور قصيرة بخشوع وسلوك قيمي. | تلاوة الآيات من سور (الفاتحة، الإخلاص، والفيل، والناس، والعصر، والتين، والنصر) بخشوع. | يتلو السور بخشوع وتأدّب. | يتلو السور غالباً بخشوع وتأدّب. | يتلو بتردد واضح وضبط غير مكتمل.
الإيمان بوحدانية الله تعالى الخالق، وتعزيز الوعي الديني والقيم الإسلامية من خلال ممارسات دينية يومية. | قراءة أحاديث نبوية قصيرة بسلوك قيمي. | قراءة الأحاديث النبوية (المؤمن القوي...، لا يُؤمن أحدكم حتى يحب لأخيه...، بني الإسلام على خمس...، أيها الناس أفشوا السلام...، من كان يُؤمن بالله واليوم الآخر فليحسن إلى جاره...، ما من مسلم يغرس غرساً... ) بسلوك قيمي. | يقرأ الأحاديث بتأدّب. | يقرأ الأحاديث غالباً بتأدب. | يقرأ بتردد واضح وضبط غير مكتمل.
الإيمان بوحدانية الله تعالى الخالق، وتعزيز الوعي الديني والقيم الإسلامية من خلال ممارسات دينية يومية. | ترديد الأناشيد الدينية؛ لتعزيز الروح الإيمانية. | التفاعل الوجداني مع الأناشيد الإيمانية ( الله الواحد، نسب محمد ﷺ، أمي وأبي، في مدرستي، معلمتي، ازرع، وطني وطني أنا أهواه، ). | يردد الأناشيد الدينية بحماس وروح إيمانية عالية. | يردد الأناشيد الدينية عند الطلب. | يردد الأناشيد ترديداً محدوداً.
الإيمان بوحدانية الله تعالى الخالق، وتعزيز الوعي الديني والقيم الإسلامية من خلال ممارسات دينية يومية. | المشاركة في المبادرات المجتمعية والتعاونية. | الانخراط الفعلي في الأنشطة التعاونية والخيرية. | يشارك بفاعلية وتميز في الأعمال الخيرية والتعاونية. | يشارك في الأعمال الخيرية والتعاونية عند الطلب | يشارك في الأعمال الخيرية والتعاونية مشاركة محدودة ومتقطعة.
الإيمان بوحدانية الله تعالى الخالق، وتعزيز الوعي الديني والقيم الإسلامية من خلال ممارسات دينية يومية. | تعزيز الصلة بالخالق بالمسؤولية الروحية والأخلاقية. | التوجه إلى الله بالدعاء المأثور (دعاء دخول المسجد، دعاء الخروج من المسجد، دعاء ما بعد التسليم من الصلاة، دعاء دخول الحمام، دعاء الخروج من الحمام) في المواقف المختلفة. | يدعو بالأدعية الواعية التي تعزز صلته الروحية بالخالق في المواقف المختلفة. | يدعو بالمأثور من الأدعية عند الطلب والتوجيه. | يقتصر دعاؤه على محاولات فردية بسيطة ومحدودة.
التعبير عن الإيمان برسول الله ﷺ بممارسات تعزز الوعي الديني ومحبة الرسول والالتزام برسالته يومياً. | عرض قصص إسلامية متنوعة، واستنباط الدروس والعبر منها بربطها بالواقع المعيش. | توظيف القصص الإسلامية(مولد محمد ﷺ، أصحاب الفيل، رضاعة رسولنا الحبيب ﷺ، كفالة رسولنا الحبيب ﷺ ورعايته) في استنباط العبر والدروس، وربطها بالمواقف الحياتية المختلفة. | يسرد القصص الإسلامية بطلاقة ويستنبط العبر ويربطها بواقعه بدقة. | يسرد القصص الإسلامية ويفهم بعض عبرها بصورة عامة. | يسرد أجزاء متفرقة من القصص الإسلامية دون فهم واضح للعبر المستفادة.
التعبير عن الإيمان برسول الله ﷺ بممارسات تعزز الوعي الديني ومحبة الرسول والالتزام برسالته يومياً. | إبراز محبة الرسول الكريم من خلال كلمات وسلوكات تجسد الالتزام برسالته. | الاقتداء بسنة الرسول صلى الله عليه وسلم في الممارسات اليومية. | يطبق السلوكات والقيم المستمدة من سيرة الرسول ﷺ باستمرار في المواقف اليومية. | يطبق بعض السلوكات والقيم المستمدة من سيرة الرسول ﷺ في المواقف اليومية. | نادراً ما يطبق السلوكات والقيم المستمدة من سيرة الرسول ﷺ في المواقف اليومية.
